"","Plot","perc.canopy.open","log.light","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","lma","log.lma","log.lmf","new.rgr.h","log.rgr.h","log.mean.thick","log.ssl","log.lar1","log.smf","log.rmf","Comp.1","Comp.2","Comp.3"
"64",304,1.54,-0.930773976,160.972381,0.297333333,12.01072386,74.68478321,0.463960232,0.325600663,0.210439105,"GARCCO",0.021978907,0.006212246,1.560868325,0.891981045,1.021978907,-1.400237059,2.157252978,-1.371361915,-0.044588641,-0.152067544,-0.901916988,2.17012358202656,0.706917830436198,-2.75567950951729
"65",305,1.91,-0.484267385,150.25,0.2795,54.4,32.78181818,0.218181818,0.151515152,0.63030303,"PITTKE",0.143100844,0.006655574,1.802264497,-0.699945402,1.143100844,-0.254219882,1.950918995,0.422507632,-1.6788451,-2.487503368,2.206374058,1.4533149090914,2.21599552031784,-1.77288789465825
"66",305,1.91,-0.484267385,173.10625,0.245,42.65625,45.59176955,0.263374486,0.263374486,0.473251029,"PITTKE",0.03509132,0.005776799,1.306373046,-0.302743114,1.03509132,-1.269791913,1.511426684,0.133707098,-1.024165541,-0.799574365,1.394383043,1.4533149090914,2.21599552031784,-1.77288789465825
"67",305,1.91,-0.484267385,142.6777778,0.202333333,84.11764706,80.64396135,0.565217391,0.246376812,0.188405797,"GARCLA",0.125163143,0.0070088,1.983355805,1.308518047,1.125163143,-0.416054254,0.873119384,0.940103646,0.107776586,-1.003248847,-1.215289823,1.4533149090914,2.21599552031784,-1.77288789465825
"68",305,1.91,-0.484267385,188.9815789,0.25,31.17117117,56.25039164,0.297650131,0.289817232,0.412532637,"PITTKE",0.029852963,0.005291521,0.999099365,-0.044602761,1.029852963,-1.321704922,1.578822004,-0.238803537,-0.60719554,-0.507491273,1.005322211,1.4533149090914,2.21599552031784,-1.77288789465825
"69",305,1.91,-0.484267385,265.2089286,0.155,35.73033708,47.60160256,0.179487179,0.28525641,0.53525641,"DERRTH",0.062520357,0.003770612,-0.187595595,-1.111868658,1.062520357,-1.002184116,-0.015883848,-0.076695408,-0.938544518,-0.555916672,1.743235439,1.4533149090914,2.21599552031784,-1.77288789465825
"70",305,1.91,-0.484267385,349.7,0.132,86.36363636,87.425,0.25,0.458333333,0.291666667,"PARACH",0.139761942,0.002859594,-1.156082683,-0.412707499,1.139761942,-0.284150289,-0.551715574,0.971395965,0.268020905,0.89179989,0.022959602,1.4533149090914,2.21599552031784,-1.77288789465825
"71",305,1.91,-0.484267385,395.1133333,0.150333333,61.70731707,106.7873874,0.27027027,0.405405405,0.324324324,"DRYPHO",0.287682072,0.002530919,-1.583658409,-0.248209211,1.287682072,0.964397046,-0.117864209,0.572184402,0.665089206,0.517179519,0.323678954,1.4533149090914,2.21599552031784,-1.77288789465825
"72",401,4.25,1.174294897,256.33,0.116333333,11.32315522,95.54953405,0.372759857,0.354121864,0.27311828,"PSEUIN",0.117783036,0.003901221,-0.068346843,0.430178649,1.117783036,-0.483388179,-0.973187747,-1.441368117,0.444393697,0.104283827,-0.163215911,-1.49107029084903,2.47930086452682,-1.01792002121404
"73",401,4.25,1.174294897,174.6722222,0.288666667,39.6875,77.63209877,0.444444444,0.395061728,0.160493827,"CAPPFO",0.15415068,0.005725009,1.274835903,0.801306682,1.15415068,-0.155787232,2.05857135,0.048040225,0.032230762,0.438275333,-1.669610365,-1.49107029084903,2.47930086452682,-1.01792002121404
"74",401,4.25,1.174294897,302.6177778,0.116666667,13.61702128,54.62414761,0.180505415,0.440433213,0.379061372,"PARACH",0.021053409,0.003304499,-0.649685077,-1.099932437,1.021053409,-1.409507248,-0.963642805,-1.22229993,-0.665422371,0.770178236,0.765564842,-1.49107029084903,2.47930086452682,-1.01792002121404
"75",401,4.25,1.174294897,302.4414634,0.189,13.88349515,51.02921811,0.16872428,0.423868313,0.407407407,"TREVPA",0.060624622,0.003306425,-0.647644148,-1.242346136,1.060624622,-1.020456141,0.645709051,-1.199285034,-0.800540257,0.653141783,0.96989963,-1.49107029084903,2.47930086452682,-1.01792002121404
"76",402,2.58,0.139259626,286.5666667,0.135666667,17.93103448,36.22722853,0.126418152,0.4910859,0.382495948,"PARACH",0.081678031,0.003489589,-0.458831919,-1.851439479,1.081678031,-0.819341297,-0.460313833,-0.895471623,-1.48049415,1.102519087,0.791122251,0.964676604589135,-1.24180611644448,-0.115456663812576
"77",402,2.58,0.139259626,307.75625,0.157666667,70.57142857,130.7283186,0.424778761,0.309734513,0.265486726,"ALPHMO",0.223143551,0.003249325,-0.708648987,0.705815602,1.223143551,0.438274797,0.041020813,0.73158066,1.066569432,-0.304579317,-0.243515805,0.964676604589135,-1.24180611644448,-0.115456663812576
"78",402,2.58,0.139259626,241.65,0.123333333,30.6097561,115.992,0.48,0.234285714,0.285714286,"CASTIN",0.039220713,0.004138216,0.138180734,0.963693922,1.039220713,-1.229053766,-0.77826429,-0.260387106,0.829191986,-1.156873709,-0.035463816,0.964676604589135,-1.24180611644448,-0.115456663812576
"79",402,2.58,0.139259626,303.6892857,0.1305,64.87179487,115.9540909,0.381818182,0.354545455,0.263636364,"POMEPI",0.033901552,0.003292839,-0.662062814,0.48083986,1.033901552,-1.281559622,-0.589841187,0.631574243,0.82854321,0.107933454,-0.263333132,0.964676604589135,-1.24180611644448,-0.115456663812576
